Property_ID,Listing_ID,Title,Price,Price_value,PriceCurrency,Location,Address,Bedrooms,Bathrooms,Parking Spaces,ErfSize,Latitude,Longitude,Agent,Link,SourcePage,ScrapeDate
RR4617196,11693393,3 Bedroom House in Victorskloof,R 75 000,75000,ZAR,,,3,2,8,2 000 m²,,,Francis Samson,https://www.privateproperty.co.za/to-rent/western-cape/cape-town/hout-bay/victorskloof/RR4617196,"https://www.privateproperty.co.za/to-rent/western-cape/cape-town/55?pt=House,ApartmentFlat,TownHouseCluster",2026-04-05 20:59:18.337006
RR4583930,11607171,1 Bedroom Apartment in De Waterkant,R 35 000,35000,ZAR,,,1,1,1,58 m²,,,Tristian Mann,https://www.privateproperty.co.za/to-rent/western-cape/cape-town/cape-town-city-bowl/de-waterkant/RR4583930,"https://www.privateproperty.co.za/to-rent/western-cape/cape-town/55?pt=House,ApartmentFlat,TownHouseCluster",2026-04-05 20:59:18.337006
RR4587963,11616811,2 Bedroom Apartment in Durbanville Central,R 15 000,15000,ZAR,,,2,2,1,,,,Elna de Klerk,https://www.privateproperty.co.za/to-rent/western-cape/cape-town/durbanville/durbanville-central/RR4587963,"https://www.privateproperty.co.za/to-rent/western-cape/cape-town/55?pt=House,ApartmentFlat,TownHouseCluster",2026-04-05 20:59:18.337006
RR4607627,11667696,2 Bedroom Apartment in Fish Hoek,R 16 000,16000,ZAR,,,2,2,1,,-34.1409225236015,18.4307944854711,Rose Eedes Ppra Registered,https://www.privateproperty.co.za/to-rent/western-cape/cape-town/peninsula-false-bay/fish-hoek/34-mountain-view/34-beach-road/RR4607627,"https://www.privateproperty.co.za/to-rent/western-cape/cape-town/55?pt=House,ApartmentFlat,TownHouseCluster",2026-04-05 20:59:18.337006
RR4644901,11765727,2 Bedroom Townhouse Burgundy Estate,R 16 500,16500,ZAR,Burgundy Estate,Burgundy Estate,2,2,3,,,,,https://www.privateproperty.co.za/to-rent/western-cape/cape-town/milnerton/burgundy-estate/RR4644901,"https://www.privateproperty.co.za/to-rent/western-cape/cape-town/55?pt=House,ApartmentFlat,TownHouseCluster",2026-04-05 20:59:18.337006
RR4644628,11764901,3 Bedroom Apartment Richwood,R 22 000,22000,ZAR,Richwood,Richwood 1 Sylvia Street,3,2,2,108 m²,-33.8338372,18.5418641,,https://www.privateproperty.co.za/to-rent/western-cape/cape-town/milnerton/richwood/de-zicht-lifestyle-estate/1-sylvia-street/RR4644628,"https://www.privateproperty.co.za/to-rent/western-cape/cape-town/55?pt=House,ApartmentFlat,TownHouseCluster",2026-04-05 20:59:18.337006
RR4642690,11760064,3 Bedroom Apartment Somerset West Central,R 19 500,19500,ZAR,Somerset West Central,Somerset West Central,3,2,2,,,,,https://www.privateproperty.co.za/to-rent/western-cape/cape-town/somerset-west/somerset-west-central/RR4642690,"https://www.privateproperty.co.za/to-rent/western-cape/cape-town/55?pt=House,ApartmentFlat,TownHouseCluster",2026-04-05 20:59:18.337006
RR4546797,11519319,2 Bedroom House Gordons Bay Central,R 8 200,8200,ZAR,Gordons Bay Central,"Gordons Bay Central 1 Gordon Villas, 00 Cornwall Street",2,1,,,,,,https://www.privateproperty.co.za/to-rent/western-cape/cape-town/gordons-bay/gordons-bay-central/1-gordon-villas/00-cornwall-street/RR4546797,"https://www.privateproperty.co.za/to-rent/western-cape/cape-town/55?pt=House,ApartmentFlat,TownHouseCluster",2026-04-05 20:59:18.337006
RR4639784,11752383,2 Bedroom Apartment Lagoon Beach,R 28 000,28000,ZAR,Lagoon Beach,"Lagoon Beach 888 Island View, 1 Lagoon Beach Drive",2,2.5,2,2 899 m²,-33.8910637,18.4851511,,https://www.privateproperty.co.za/to-rent/western-cape/cape-town/milnerton/lagoon-beach/888-island-view/1-lagoon-beach-drive/RR4639784,"https://www.privateproperty.co.za/to-rent/western-cape/cape-town/55?pt=House,ApartmentFlat,TownHouseCluster",2026-04-05 20:59:18.337006
RR4639306,11751124,1 Bedroom Apartment Sandown,R 11 500,11500,ZAR,Sandown,Sandown,1,1,1,,,,,https://www.privateproperty.co.za/to-rent/western-cape/cape-town/blouberg/sandown/suikerbos/dorothea-drive/RR4639306,"https://www.privateproperty.co.za/to-rent/western-cape/cape-town/55?pt=House,ApartmentFlat,TownHouseCluster",2026-04-05 20:59:18.337006
RR4639196,11750813,5 Bedroom House Brentwood Park,R 15 000,15000,ZAR,Brentwood Park,Brentwood Park 401 Angela Crescent,5,3,4,313 m²,-33.985589,18.652507,,https://www.privateproperty.co.za/to-rent/western-cape/cape-town/blue-downs/blue-downs/brentwood-park/401-angela-crescent/RR4639196,"https://www.privateproperty.co.za/to-rent/western-cape/cape-town/55?pt=House,ApartmentFlat,TownHouseCluster",2026-04-05 20:59:18.337006
RR4638270,11748590,2 Bedroom Apartment Heathfield,R 9 500,9500,ZAR,Heathfield,"Heathfield Unit 11 Barkley Building, 29 Station Road",2,1,,,-34.0456485,18.4658781,,https://www.privateproperty.co.za/to-rent/western-cape/cape-town/southern-suburbs/heathfield/unit-11-barkley-building/29-station-road/RR4638270,"https://www.privateproperty.co.za/to-rent/western-cape/cape-town/55?pt=House,ApartmentFlat,TownHouseCluster",2026-04-05 20:59:18.337006
RR4634291,11737820,3 Bedroom House Northshore,R 63 000,63000,ZAR,Northshore,Northshore,3,2,4,3 156 m²,,,,https://www.privateproperty.co.za/to-rent/western-cape/cape-town/hout-bay/northshore/RR4634291,"https://www.privateproperty.co.za/to-rent/western-cape/cape-town/55?pt=House,ApartmentFlat,TownHouseCluster",2026-04-05 20:59:18.337006
RR4632763,11733759,3 Bedroom Apartment Strand Central,R 22 000,22000,ZAR,Strand Central,Strand Central,3,2,2,,,,,https://www.privateproperty.co.za/to-rent/western-cape/cape-town/strand/strand-central/RR4632763,"https://www.privateproperty.co.za/to-rent/western-cape/cape-town/55?pt=House,ApartmentFlat,TownHouseCluster",2026-04-05 20:59:18.337006
RR4632692,11733598,3 Bedroom House Sea Point,R 49 500,49500,ZAR,Sea Point,Sea Point,3,3.5,1,,,,,https://www.privateproperty.co.za/to-rent/western-cape/cape-town/atlantic-seaboard/sea-point/RR4632692,"https://www.privateproperty.co.za/to-rent/western-cape/cape-town/55?pt=House,ApartmentFlat,TownHouseCluster",2026-04-05 20:59:18.337006
RR4632254,11732648,3 Bedroom Apartment Century City,R 34 995,34995,ZAR,Century City,Century City,3,2,2,,,,,https://www.privateproperty.co.za/to-rent/western-cape/cape-town/milnerton/century-city/RR4632254,"https://www.privateproperty.co.za/to-rent/western-cape/cape-town/55?pt=House,ApartmentFlat,TownHouseCluster",2026-04-05 20:59:18.337006
RR4630211,11727223,1 Bedroom Apartment Richwood,R 14 000,14000,ZAR,Richwood,Richwood,1,1,1,66 m²,,,,https://www.privateproperty.co.za/to-rent/western-cape/cape-town/milnerton/richwood/de-aan-zicht-lifestyle-security-estate/giel-basson-dr-rooiheuwel-rd-richwood-7441/RR4630211,"https://www.privateproperty.co.za/to-rent/western-cape/cape-town/55?pt=House,ApartmentFlat,TownHouseCluster",2026-04-05 20:59:18.337006
RR4629450,11725259,2 Bedroom Flat Kenilworth Upper,R 25 000,25000,ZAR,Kenilworth Upper,Kenilworth Upper,2,2,2,,,,,https://www.privateproperty.co.za/to-rent/western-cape/cape-town/southern-suburbs/kenilworth/kenilworth-upper/RR4629450,"https://www.privateproperty.co.za/to-rent/western-cape/cape-town/55?pt=House,ApartmentFlat,TownHouseCluster",2026-04-05 20:59:18.337006
RR4628605,11723038,2 Bedroom Apartment Waterfront,R 95 000,95000,ZAR,Waterfront,"Waterfront 001 5 Dock Road, 5 Dock Road",2,2.5,2,,-33.9117196,18.4215482,,https://www.privateproperty.co.za/to-rent/western-cape/cape-town/atlantic-seaboard/waterfront/001-5-dock-road/5-dock-road/RR4628605,"https://www.privateproperty.co.za/to-rent/western-cape/cape-town/55?pt=House,ApartmentFlat,TownHouseCluster",2026-04-05 20:59:18.337006
RR4628449,11722705,1 Bedroom Apartment Waterfront,R 38 000,38000,ZAR,Waterfront,"Waterfront 402 5 Dock Road, 5 Dock Road",1,1,1,65 m²,,,,https://www.privateproperty.co.za/to-rent/western-cape/cape-town/atlantic-seaboard/waterfront/402-5-dock-road/5-dock-road/RR4628449,"https://www.privateproperty.co.za/to-rent/western-cape/cape-town/55?pt=House,ApartmentFlat,TownHouseCluster",2026-04-05 20:59:18.337006
RR4624733,11713415,3 Bedroom House Sonkring,R 24 000,24000,ZAR,Sonkring,Sonkring,3,2,2,450 m²,,,,https://www.privateproperty.co.za/to-rent/western-cape/cape-town/brackenfell/sonkring/RR4624733,"https://www.privateproperty.co.za/to-rent/western-cape/cape-town/55?pt=House,ApartmentFlat,TownHouseCluster&page=2",2026-04-05 20:59:18.337006
RR3204350,7895852,1 Bedroom Apartment Waterfront,R 15 800,15800,ZAR,Waterfront,Waterfront,1,1,,,,,,https://www.privateproperty.co.za/to-rent/western-cape/cape-town/atlantic-seaboard/waterfront/RR3204350,"https://www.privateproperty.co.za/to-rent/western-cape/cape-town/55?pt=House,ApartmentFlat,TownHouseCluster&page=2",2026-04-05 20:59:18.337006
RR4621045,11704210,2 Bedroom Apartment Milnerton Central,R 17 250,17250,ZAR,Milnerton Central,Milnerton Central,2,2,2,2 ha,,,,https://www.privateproperty.co.za/to-rent/western-cape/cape-town/milnerton/milnerton-central/RR4621045,"https://www.privateproperty.co.za/to-rent/western-cape/cape-town/55?pt=House,ApartmentFlat,TownHouseCluster&page=2",2026-04-05 20:59:18.337006
RR3221721,7937747,2 Bedroom Apartment Diep River,R 10 800,10800,ZAR,Diep River,"Diep River F6 Fairdale Gardens, 22 Nicholette Street",2,1,1,,-34.0364441700824,18.4645843505859,,https://www.privateproperty.co.za/to-rent/western-cape/cape-town/southern-suburbs/diep-river/f6-fairdale-gardens/22-nicholette-street/RR3221721,"https://www.privateproperty.co.za/to-rent/western-cape/cape-town/55?pt=House,ApartmentFlat,TownHouseCluster&page=2",2026-04-05 20:59:18.337006
RR3843135,9691602,1 Bedroom Apartment Strand North,R 9 950,9950,ZAR,Strand North,"Strand North 248 De Velde, 2 De Beers Road",1,1,1,,-34.0897505,18.8216648,,https://www.privateproperty.co.za/to-rent/western-cape/cape-town/strand/strand-north/248-de-velde/2-de-beers-road/RR3843135,"https://www.privateproperty.co.za/to-rent/western-cape/cape-town/55?pt=House,ApartmentFlat,TownHouseCluster&page=2",2026-04-05 20:59:18.337006
RR4613810,11683981,Studio Apartment Foreshore,R 10 950,10950,ZAR,Foreshore,"Foreshore 8 Hans Strijdom Avenue, Cape Town 8 Hans Strijdom Avenue, Cape Town",0.5,1,1,,-33.9190735,18.4249363,,https://www.privateproperty.co.za/to-rent/western-cape/cape-town/atlantic-seaboard/foreshore/8-hans-strijdom-avenue-cape-town-8-hans-strijdom-avenue-cape-town/RR4613810,"https://www.privateproperty.co.za/to-rent/western-cape/cape-town/55?pt=House,ApartmentFlat,TownHouseCluster&page=2",2026-04-05 20:59:18.337006
RR4028313,10199605,Studio Apartment Cape Town City Centre,R 14 000,14000,ZAR,Cape Town City Centre,"Cape Town City Centre 611 De Oude Schuur, 116 Bree",0.5,1,1,,-33.92205,18.4167099,,https://www.privateproperty.co.za/to-rent/western-cape/cape-town/cape-town-city-bowl/cape-town-city-centre/611-de-oude-schuur/116-bree/RR4028313,"https://www.privateproperty.co.za/to-rent/western-cape/cape-town/55?pt=House,ApartmentFlat,TownHouseCluster&page=2",2026-04-05 20:59:18.337006
