suburb,city,latitude,longitude
Athlone,Cape Town,-33.9608,18.5042
Bantry Bay,Cape Town,-33.9150,18.3814
Bellville,Cape Town,-33.9000,18.6300
Bergvliet,Cape Town,-34.0500,18.4667
Bishop Lavis,Cape Town,-33.9333,18.5667
Bishopscourt,Cape Town,-33.9833,18.4500
Bloubergstrand,Cape Town,-33.8017,18.4733
Bo-Kaap,Cape Town,-33.9233,18.4150
Bo Kaap,Cape Town,-33.9233,18.4150
Brackenfell,Cape Town,-33.8833,18.6833
Brooklyn,Cape Town,-33.9167,18.5000
Camps Bay,Cape Town,-33.9517,18.3783
Cape Town City Bowl,Cape Town,-33.9258,18.4232
Cape Town City Centre,Cape Town,-33.9258,18.4232
Century City,Cape Town,-33.8900,18.5100
Claremont,Cape Town,-33.9806,18.4655
Claremont Upper,Cape Town,-33.9833,18.4583
Clifton,Cape Town,-33.9383,18.3750
Constantia,Cape Town,-34.0167,18.4333
Constantia Upper,Cape Town,-34.0333,18.4333
Crawford,Cape Town,-33.9667,18.5000
De Waterkant,Cape Town,-33.9233,18.4183
Diep River,Cape Town,-34.0167,18.4833
Durbanville,Cape Town,-33.8333,18.6500
Durbanville Central,Cape Town,-33.8333,18.6500
Durbanville Hills,Cape Town,-33.8167,18.6500
Durbanville Outlying,Cape Town,-33.8167,18.6667
Edgemead,Cape Town,-33.8833,18.5667
Elsies River,Cape Town,-33.9167,18.5833
Epping,Cape Town,-33.9333,18.5500
Eerste River,Cape Town,-34.0333,18.7500
Fish Hoek,Cape Town,-34.1333,18.4333
Flamingo Vlei,Cape Town,-33.8333,18.4833
Foreshore,Cape Town,-33.9167,18.4333
Fresnaye,Cape Town,-33.9167,18.3833
Gardens,Cape Town,-33.9333,18.4167
Goodwood,Cape Town,-33.9000,18.5500
Goodwood Central,Cape Town,-33.9000,18.5500
Goodwood Estate,Cape Town,-33.9000,18.5500
Green Point,Cape Town,-33.9083,18.4000
Greenpoint,Cape Town,-33.9083,18.4000
Grassy Park,Cape Town,-34.0333,18.5000
Gugulethu,Cape Town,-33.9833,18.5667
Hanover Park,Cape Town,-33.9833,18.5333
Harfield Village,Cape Town,-33.9833,18.4667
Hout Bay,Cape Town,-34.0483,18.3617
Hout Bay Central,Cape Town,-34.0483,18.3617
Hyde Park,Cape Town,-33.9833,18.4833
Kenilworth,Cape Town,-33.9833,18.4833
Kenilworth Upper,Cape Town,-33.9833,18.4750
Khayelitsha,Cape Town,-34.0333,18.6833
Killarney Gardens,Cape Town,-33.8333,18.5000
Kommetjie,Cape Town,-34.1333,18.3167
Kraaifontein,Cape Town,-33.8500,18.7167
Kraaifontein East,Cape Town,-33.8500,18.7333
Kuils River,Cape Town,-33.9333,18.7167
Kuils River South,Cape Town,-33.9500,18.7167
Lakeside,Cape Town,-34.0833,18.4667
Lansdowne,Cape Town,-33.9833,18.5000
Langa,Cape Town,-33.9500,18.5333
Lavender Hill,Cape Town,-34.0500,18.5000
Lotus River,Cape Town,-34.0167,18.5167
Matroosfontein,Cape Town,-33.9167,18.6000
Meadowridge,Cape Town,-34.0333,18.4667
Milnerton,Cape Town,-33.8667,18.5000
Milnerton Central,Cape Town,-33.8750,18.5083
Milnerton Ridge,Cape Town,-33.8750,18.5083
Mitchells Plain,Cape Town,-34.0333,18.6167
Mitchells Plain Central,Cape Town,-34.0333,18.6333
Montague Gardens,Cape Town,-33.8667,18.5167
Mowbray,Cape Town,-33.9500,18.4667
Mouille Point,Cape Town,-33.9033,18.3983
Muizenberg,Cape Town,-34.1000,18.4667
Newlands,Cape Town,-33.9833,18.4500
Noordhoek,Cape Town,-34.1000,18.3667
Observatory,Cape Town,-33.9383,18.4717
Oranjezicht,Cape Town,-33.9333,18.4167
Ottery,Cape Town,-34.0167,18.5167
Paarden Eiland,Cape Town,-33.9000,18.4833
Paardevlei,Cape Town,-34.0667,18.7000
Panorama,Cape Town,-33.8833,18.5833
Parow,Cape Town,-33.9000,18.5833
Parow Central,Cape Town,-33.9000,18.5833
Parow North,Cape Town,-33.8833,18.5833
